unix,date,symbol,open,high,low,close,Volume BTC,Volume USD

1630450800,2021-08-31 23:00:00,BTC/USD,47102.74,47365.57,47000.05,47156.09,52.28101511,2465368.2538185194
1630447200,2021-08-31 22:00:00,BTC/USD,46942.58,47127.13,46771.13,47100.38,199.49539720,9396309.016370935
1630443600,2021-08-31 21:00:00,BTC/USD,47020.10,47213.49,46845.05,46950.00,138.09251446,6483443.553897
1630440000,2021-08-31 20:00:00,BTC/USD,47306.81,47345.65,46926.40,47003.10,81.36320723,3824322.965752413
1630436400,2021-08-31 19:00:00,BTC/USD,47326.70,47422.72,47205.86,47321.52,95.04373328,4497613.925284185
1630432800,2021-08-31 18:00:00,BTC/USD,47124.63,47404.90,47014.76,47341.63,57.13057498,2704654.5423904173
1630429200,2021-08-31 17:00:00,BTC/USD,47393.62,47460.85,47009.40,47119.28,58.98594131,2779375.0846494567
1630425600,2021-08-31 16:00:00,BTC/USD,47405.35,47582.06,47282.66,47389.77,98.50382138,4668073.439319283
1630422000,2021-08-31 15:00:00,BTC/USD,47300.80,47480.05,47182.85,47423.55,117.87996408,5590286.370546084
1630418400,2021-08-31 14:00:00,BTC/USD,47884.53,48270.33,47200.34,47306.77,167.11128464,7905495.106869013
1630414800,2021-08-31 13:00:00,BTC/USD,47882.26,48000.00,47659.50,47889.76,77.25470499,3699709.2808419024
1630411200,2021-08-31 12:00:00,BTC/USD,48000.00,48181.19,47740.03,47816.77,128.67592683,6152867.197766939
1630407600,2021-08-31 11:00:00,BTC/USD,47455.96,48100.00,47329.52,47972.67,99.42975909,4769911.0210040705
1630404000,2021-08-31 10:00:00,BTC/USD,47406.92,47712.90,47151.75,47424.28,85.69167854,4063866.156750951
1630400400,2021-08-31 09:00:00,BTC/USD,47742.16,47802.33,47346.13,47400.09,63.24895043,2998005.9427875383
1630396800,2021-08-31 08:00:00,BTC/USD,47800.06,47984.88,47655.41,47755.79,45.89271717,2191642.963699914
1630393200,2021-08-31 07:00:00,BTC/USD,47007.40,47913.97,46834.34,47801.11,104.73411401,5006406.904544551
