	date	bitcoin
0	2015-01-01	3
1	2015-02-01	3
2	2015-03-01	3
3	2015-04-01	2
4	2015-05-01	2
5	2015-06-01	2
6	2015-07-01	3
7	2015-08-01	3
8	2015-09-01	2
9	2015-10-01	3
10	2015-11-01	3
11	2015-12-01	3
12	2016-01-01	3
13	2016-02-01	3
14	2016-03-01	3
15	2016-04-01	3
16	2016-05-01	4
17	2016-06-01	5
18	2016-07-01	3
19	2016-08-01	3
20	2016-09-01	3
21	2016-10-01	3
22	2016-11-01	4
23	2016-12-01	5
24	2017-01-01	6
25	2017-02-01	6
26	2017-03-01	7
27	2017-04-01	6
28	2017-05-01	15
29	2017-06-01	14
30	2017-07-01	13
31	2017-08-01	20
32	2017-09-01	21
33	2017-10-01	21
34	2017-11-01	43
35	2017-12-01	100
36	2018-01-01	56
37	2018-02-01	41
38	2018-03-01	23
39	2018-04-01	18
40	2018-05-01	15
41	2018-06-01	13
42	2018-07-01	12
43	2018-08-01	13
44	2018-09-01	12
45	2018-10-01	10
46	2018-11-01	13
47	2018-12-01	13
48	2019-01-01	10
49	2019-02-01	9
50	2019-03-01	8
51	2019-04-01	12
52	2019-05-01	17
53	2019-06-01	19
54	2019-07-01	19
55	2019-08-01	15
56	2019-09-01	13
57	2019-10-01	12
58	2019-11-01	11
59	2019-12-01	11
60	2020-01-01	13
61	2020-02-01	14
62	2020-03-01	19
63	2020-04-01	16
64	2020-05-01	20
65	2020-06-01	13
66	2020-07-01	13
67	2020-08-01	16
68	2020-09-01	12
69	2020-10-01	13
70	2020-11-01	23
71	2020-12-01	30
72	2021-01-01	62
