	date	bitcoin_unscaled	bitcoin_monthly	scale	bitcoin
0	2021-01-01	40	27	0.27	10.8
1	2021-01-02	67	47	0.47	31.49
2	2021-01-03	81	56	0.56	45.36000000000001
3	2021-01-04	66	49	0.49	32.339999999999996
4	2021-01-05	56	40	0.4	22.400000000000002
5	2021-01-06	62	44	0.44	27.28
6	2021-01-07	89	61	0.61	54.29
7	2021-01-08	90	65	0.65	58.5
8	2021-01-09	69	49	0.49	33.81
9	2021-01-10	69	48	0.48	33.12
10	2021-01-11	100	72	0.72	72.0
11	2021-01-12	76	52	0.52	39.52
12	2021-01-13	65	47	0.47	30.549999999999997
13	2021-01-14	67	47	0.47	31.49
14	2021-01-15	60	42	0.42	25.2
15	2021-01-16	50	35	0.35	17.5
16	2021-01-17	45	33	0.33	14.850000000000001
17	2021-01-18	42	30	0.3	12.6
18	2021-01-19	42	30	0.3	12.6
19	2021-01-20	42	30	0.3	12.6
20	2021-01-21	51	36	0.36	18.36
21	2021-01-22	56	39	0.39	21.84
22	2021-01-23	40	28	0.28	11.200000000000001
23	2021-01-24	37	26	0.26	9.620000000000001
24	2021-01-25	37	26	0.26	9.620000000000001
25	2021-01-26	36	26	0.26	9.36
26	2021-01-27	39	28	0.28	10.920000000000002
27	2021-01-28	39	27	0.27	10.530000000000001
28	2021-01-29	62	44	0.44	27.28
29	2021-01-30	44	31	0.31	13.64
30	2021-01-31	39	27	0.27	10.530000000000001
31	2021-02-01	40	27	0.27	10.8
32	2021-02-02	37	25	0.25	9.25
33	2021-02-03	38	27	0.27	10.260000000000002
34	2021-02-04	40	28	0.28	11.200000000000001
35	2021-02-05	38	25	0.25	9.5
36	2021-02-06	45	30	0.3	13.5
37	2021-02-07	38	26	0.26	9.88
38	2021-02-08	87	60	0.6	52.199999999999996
39	2021-02-09	99	68	0.68	67.32000000000001
40	2021-02-10	68	46	0.46	31.28
41	2021-02-11	63	44	0.44	27.72
42	2021-02-12	61	43	0.43	26.23
43	2021-02-13	52	34	0.34	17.68
44	2021-02-14	55	38	0.38	20.9
45	2021-02-15	55	39	0.39	21.45
46	2021-02-16	63	44	0.44	27.72
47	2021-02-17	70	48	0.48	33.6
48	2021-02-18	63	42	0.42	26.459999999999997
49	2021-02-19	70	49	0.49	34.3
50	2021-02-20	77	54	0.54	41.580000000000005
51	2021-02-21	71	48	0.48	34.08
52	2021-02-22	80	55	0.55	44.0
53	2021-02-23	100	68	0.68	68.0
54	2021-02-24	75	52	0.52	39.0
55	2021-02-25	60	41	0.41	24.599999999999998
56	2021-02-26	61	42	0.42	25.619999999999997
57	2021-02-27	51	35	0.35	17.849999999999998
58	2021-02-28	55	38	0.38	20.9
59	2021-03-01	94	37	0.37	34.78
60	2021-03-02	80	34	0.34	27.200000000000003
61	2021-03-03	79	32	0.32	25.28
62	2021-03-04	71	29	0.29	20.59
63	2021-03-05	70	30	0.3	21.0
64	2021-03-06	60	26	0.26	15.600000000000001
65	2021-03-07	68	27	0.27	18.36
66	2021-03-08	71	28	0.28	19.880000000000003
67	2021-03-09	87	34	0.34	29.580000000000002
68	2021-03-10	79	33	0.33	26.07
69	2021-03-11	77	32	0.32	24.64
70	2021-03-12	75	30	0.3	22.5
71	2021-03-13	100	41	0.41	41.0
72	2021-03-14	93	38	0.38	35.34
73	2021-03-15	87	34	0.34	29.580000000000002
74	2021-03-16	77	32	0.32	24.64
75	2021-03-17	75	32	0.32	24.0
76	2021-03-18	77	32	0.32	24.64
77	2021-03-19	70	28	0.28	19.6
78	2021-03-20	62	25	0.25	15.5
79	2021-03-21	61	27	0.27	16.470000000000002
80	2021-03-22	67	28	0.28	18.76
81	2021-03-23	69	29	0.29	20.009999999999998
82	2021-03-24	75	31	0.31	23.25
83	2021-03-25	83	35	0.35	29.049999999999997
84	2021-03-26	67	29	0.29	19.43
85	2021-03-27	63	26	0.26	16.38
86	2021-03-28	58	24	0.24	13.92
87	2021-03-29	67	27	0.27	18.09
88	2021-03-30	70	29	0.29	20.299999999999997
89	2021-03-31	68	28	0.28	19.040000000000003
90	2021-04-01	55	30	0.3	16.5
91	2021-04-02	52	28	0.28	14.560000000000002
92	2021-04-03	47	25	0.25	11.75
93	2021-04-04	45	24	0.24	10.799999999999999
94	2021-04-05	47	26	0.26	12.22
95	2021-04-06	47	26	0.26	12.22
96	2021-04-07	47	26	0.26	12.22
97	2021-04-08	45	25	0.25	11.25
98	2021-04-09	41	23	0.23	9.43
99	2021-04-10	48	26	0.26	12.48
100	2021-04-11	46	24	0.24	11.04
101	2021-04-12	46	25	0.25	11.5
102	2021-04-13	63	35	0.35	22.049999999999997
103	2021-04-14	70	38	0.38	26.6
104	2021-04-15	59	33	0.33	19.470000000000002
105	2021-04-16	64	35	0.35	22.4
106	2021-04-17	53	29	0.29	15.37
107	2021-04-18	94	50	0.5	47.0
108	2021-04-19	76	42	0.42	31.919999999999998
109	2021-04-20	68	36	0.36	24.48
110	2021-04-21	57	32	0.32	18.240000000000002
111	2021-04-22	64	35	0.35	22.4
112	2021-04-23	100	55	0.55	55.00000000000001
113	2021-04-24	69	38	0.38	26.22
114	2021-04-25	63	34	0.34	21.42
115	2021-04-26	67	36	0.36	24.119999999999997
116	2021-04-27	58	32	0.32	18.56
117	2021-04-28	54	29	0.29	15.659999999999998
118	2021-04-29	47	27	0.27	12.690000000000001
119	2021-04-30	49	26	0.26	12.74
120	2021-05-01	27	26	0.26	7.0200000000000005
121	2021-05-02	24	24	0.24	5.76
122	2021-05-03	28	28	0.28	7.840000000000001
123	2021-05-04	29	28	0.28	8.120000000000001
124	2021-05-05	29	27	0.27	7.83
125	2021-05-06	27	27	0.27	7.290000000000001
126	2021-05-07	26	25	0.25	6.5
127	2021-05-08	26	25	0.25	6.5
128	2021-05-09	26	26	0.26	6.76
129	2021-05-10	28	27	0.27	7.5600000000000005
130	2021-05-11	26	26	0.26	6.76
131	2021-05-12	28	27	0.27	7.5600000000000005
132	2021-05-13	70	69	0.69	48.3
133	2021-05-14	42	41	0.41	17.22
134	2021-05-15	33	33	0.33	10.89
135	2021-05-16	36	36	0.36	12.959999999999999
136	2021-05-17	52	51	0.51	26.52
137	2021-05-18	39	39	0.39	15.21
138	2021-05-19	100	100	1.0	100.0
139	2021-05-20	77	77	0.77	59.29
140	2021-05-21	59	58	0.58	34.22
141	2021-05-22	52	50	0.5	26.0
142	2021-05-23	63	62	0.62	39.06
143	2021-05-24	57	56	0.56	31.92
144	2021-05-25	47	45	0.45	21.150000000000002
145	2021-05-26	39	38	0.38	14.82
146	2021-05-27	34	34	0.34	11.56
147	2021-05-28	37	35	0.35	12.95
148	2021-05-29	37	34	0.34	12.58
149	2021-05-30	33	34	0.34	11.22
150	2021-05-31	33	32	0.32	10.56
151	2021-06-01	69	30	0.3	20.7
152	2021-06-02	71	30	0.3	21.3
153	2021-06-03	71	29	0.29	20.59
154	2021-06-04	75	32	0.32	24.0
155	2021-06-05	68	30	0.3	20.4
156	2021-06-06	72	31	0.31	22.32
157	2021-06-07	67	29	0.29	19.43
158	2021-06-08	99	41	0.41	40.589999999999996
159	2021-06-09	87	37	0.37	32.19
160	2021-06-10	75	32	0.32	24.0
161	2021-06-11	63	28	0.28	17.64
162	2021-06-12	55	24	0.24	13.2
163	2021-06-13	58	24	0.24	13.92
164	2021-06-14	75	31	0.31	23.25
165	2021-06-15	63	27	0.27	17.01
166	2021-06-16	56	24	0.24	13.44
167	2021-06-17	51	22	0.22	11.22
168	2021-06-18	53	23	0.23	12.190000000000001
169	2021-06-19	46	20	0.2	9.200000000000001
170	2021-06-20	53	23	0.23	12.190000000000001
171	2021-06-21	75	33	0.33	24.75
172	2021-06-22	100	42	0.42	42.0
173	2021-06-23	73	31	0.31	22.63
174	2021-06-24	60	26	0.26	15.600000000000001
175	2021-06-25	63	26	0.26	16.38
176	2021-06-26	58	25	0.25	14.5
177	2021-06-27	54	23	0.23	12.42
178	2021-06-28	55	24	0.24	13.2
179	2021-06-29	56	23	0.23	12.88
180	2021-06-30	50	22	0.22	11.0
181	2021-07-01	62	20	0.2	12.4
182	2021-07-02	57	19	0.19	10.83
183	2021-07-03	54	18	0.18	9.719999999999999
184	2021-07-04	55	19	0.19	10.45
185	2021-07-05	59	20	0.2	11.8
186	2021-07-06	55	18	0.18	9.9
187	2021-07-07	51	17	0.17	8.67
188	2021-07-08	58	19	0.19	11.02
189	2021-07-09	53	18	0.18	9.54
190	2021-07-10	45	17	0.17	7.65
191	2021-07-11	46	15	0.15	6.8999999999999995
192	2021-07-12	50	17	0.17	8.5
193	2021-07-13	54	18	0.18	9.719999999999999
194	2021-07-14	55	17	0.17	9.350000000000001
195	2021-07-15	53	18	0.18	9.54
196	2021-07-16	55	18	0.18	9.9
197	2021-07-17	50	16	0.16	8.0
198	2021-07-18	48	16	0.16	7.68
199	2021-07-19	57	19	0.19	10.83
200	2021-07-20	75	25	0.25	18.75
201	2021-07-21	70	23	0.23	16.1
202	2021-07-22	60	21	0.21	12.6
203	2021-07-23	55	18	0.18	9.9
204	2021-07-24	55	18	0.18	9.9
205	2021-07-25	54	19	0.19	10.26
206	2021-07-26	100	33	0.33	33.0
207	2021-07-27	74	25	0.25	18.5
208	2021-07-28	72	24	0.24	17.28
209	2021-07-29	61	21	0.21	12.809999999999999
210	2021-07-30	56	19	0.19	10.64
211	2021-07-31	62	20	0.2	12.4
212	2021-08-01	82	20	0.2	16.400000000000002
213	2021-08-02	76	20	0.2	15.200000000000001
214	2021-08-03	73	18	0.18	13.139999999999999
215	2021-08-04	70	17	0.17	11.9
216	2021-08-05	71	17	0.17	12.07
217	2021-08-06	79	20	0.2	15.8
218	2021-08-07	84	21	0.21	17.64
