	date	bitcoin_unscaled	bitcoin_monthly	scale	bitcoin
0	2020-08-01	99			
1	2020-08-02	100	19.0	0.19	19.0
2	2020-08-03	83	19.0	0.19	15.77
3	2020-08-04	77	19.0	0.19	14.63
4	2020-08-05	80	19.0	0.19	15.2
5	2020-08-06	79	19.0	0.19	15.01
6	2020-08-07	77	19.0	0.19	14.63
7	2020-08-08	75	19.0	0.19	14.25
8	2020-08-09	73	17.0	0.17	12.41
9	2020-08-10	82	17.0	0.17	13.940000000000001
10	2020-08-11	79	17.0	0.17	13.430000000000001
11	2020-08-12	72	17.0	0.17	12.24
12	2020-08-13	69	17.0	0.17	11.73
13	2020-08-14	71	17.0	0.17	12.07
14	2020-08-15	66	17.0	0.17	11.22
15	2020-08-16	65	16.0	0.16	10.4
16	2020-08-17	77	16.0	0.16	12.32
17	2020-08-18	73	16.0	0.16	11.68
18	2020-08-19	70	16.0	0.16	11.200000000000001
19	2020-08-20	64	16.0	0.16	10.24
20	2020-08-21	65	16.0	0.16	10.4
21	2020-08-22	61	16.0	0.16	9.76
22	2020-08-23	57	14.0	0.14	7.98
23	2020-08-24	61	14.0	0.14	8.540000000000001
24	2020-08-25	63	14.0	0.14	8.82
25	2020-08-26	60	14.0	0.14	8.4
26	2020-08-27	61	14.0	0.14	8.540000000000001
27	2020-08-28	57	14.0	0.14	7.98
28	2020-08-29	55	14.0	0.14	7.700000000000001
29	2020-08-30	54	15.0	0.15	8.1
30	2020-08-31	57	15.0	0.15	8.549999999999999
31	2020-09-01	83	15.0	0.15	12.45
32	2020-09-02	83	15.0	0.15	12.45
33	2020-09-03	89	15.0	0.15	13.35
34	2020-09-04	100	15.0	0.15	15.0
35	2020-09-05	95	15.0	0.15	14.25
36	2020-09-06	81	14.0	0.14	11.340000000000002
37	2020-09-07	86	14.0	0.14	12.040000000000001
38	2020-09-08	82	14.0	0.14	11.48
39	2020-09-09	75	14.0	0.14	10.500000000000002
40	2020-09-10	75	14.0	0.14	10.500000000000002
41	2020-09-11	68	14.0	0.14	9.520000000000001
42	2020-09-12	66	14.0	0.14	9.24
43	2020-09-13	70	13.0	0.13	9.1
44	2020-09-14	67	13.0	0.13	8.71
45	2020-09-15	75	13.0	0.13	9.75
46	2020-09-16	74	13.0	0.13	9.620000000000001
47	2020-09-17	69	13.0	0.13	8.97
48	2020-09-18	69	13.0	0.13	8.97
49	2020-09-19	67	13.0	0.13	8.71
50	2020-09-20	65	12.0	0.12	7.8
51	2020-09-21	73	12.0	0.12	8.76
52	2020-09-22	70	12.0	0.12	8.4
53	2020-09-23	64	12.0	0.12	7.68
54	2020-09-24	68	12.0	0.12	8.16
55	2020-09-25	67	12.0	0.12	8.04
56	2020-09-26	63	12.0	0.12	7.56
57	2020-09-27	59	11.0	0.11	6.49
58	2020-09-28	65	11.0	0.11	7.15
59	2020-09-29	59	11.0	0.11	6.49
60	2020-09-30	60	11.0	0.11	6.6
61	2020-10-01	47	11.0	0.11	5.17
62	2020-10-02	49	11.0	0.11	5.39
63	2020-10-03	45	11.0	0.11	4.95
64	2020-10-04	48	11.0	0.11	5.28
65	2020-10-05	49	11.0	0.11	5.39
66	2020-10-06	48	11.0	0.11	5.28
67	2020-10-07	49	11.0	0.11	5.39
68	2020-10-08	51	11.0	0.11	5.61
69	2020-10-09	53	11.0	0.11	5.83
70	2020-10-10	57	11.0	0.11	6.2700000000000005
71	2020-10-11	52	12.0	0.12	6.24
72	2020-10-12	54	12.0	0.12	6.4799999999999995
73	2020-10-13	54	12.0	0.12	6.4799999999999995
74	2020-10-14	50	12.0	0.12	6.0
75	2020-10-15	54	12.0	0.12	6.4799999999999995
76	2020-10-16	52	12.0	0.12	6.24
77	2020-10-17	52	12.0	0.12	6.24
78	2020-10-18	48	17.0	0.17	8.16
79	2020-10-19	54	17.0	0.17	9.180000000000001
80	2020-10-20	61	17.0	0.17	10.370000000000001
81	2020-10-21	95	17.0	0.17	16.150000000000002
82	2020-10-22	100	17.0	0.17	17.0
83	2020-10-23	80	17.0	0.17	13.600000000000001
84	2020-10-24	72	17.0	0.17	12.24
85	2020-10-25	65	17.0	0.17	11.05
86	2020-10-26	77	17.0	0.17	13.090000000000002
87	2020-10-27	87	17.0	0.17	14.790000000000001
88	2020-10-28	89	17.0	0.17	15.13
89	2020-10-29	79	17.0	0.17	13.430000000000001
90	2020-10-30	75	17.0	0.17	12.750000000000002
91	2020-10-31	72	17.0	0.17	12.24
92	2020-11-01	43	19.0	0.19	8.17
93	2020-11-02	45	19.0	0.19	8.55
94	2020-11-03	41	19.0	0.19	7.79
95	2020-11-04	41	19.0	0.19	7.79
96	2020-11-05	63	19.0	0.19	11.97
97	2020-11-06	69	19.0	0.19	13.11
98	2020-11-07	54	19.0	0.19	10.26
99	2020-11-08	50	20.0	0.2	10.0
100	2020-11-09	54	20.0	0.2	10.8
101	2020-11-10	49	20.0	0.2	9.8
102	2020-11-11	51	20.0	0.2	10.200000000000001
103	2020-11-12	53	20.0	0.2	10.600000000000001
104	2020-11-13	56	20.0	0.2	11.200000000000001
105	2020-11-14	49	20.0	0.2	9.8
106	2020-11-15	44	27.0	0.27	11.88
107	2020-11-16	59	27.0	0.27	15.930000000000001
108	2020-11-17	77	27.0	0.27	20.790000000000003
109	2020-11-18	93	27.0	0.27	25.110000000000003
110	2020-11-19	73	27.0	0.27	19.71
111	2020-11-20	80	27.0	0.27	21.6
112	2020-11-21	80	27.0	0.27	21.6
113	2020-11-22	71	32.0	0.32	22.72
114	2020-11-23	70	32.0	0.32	22.400000000000002
115	2020-11-24	95	32.0	0.32	30.400000000000002
116	2020-11-25	88	32.0	0.32	28.16
117	2020-11-26	100	32.0	0.32	32.0
118	2020-11-27	75	32.0	0.32	24.0
119	2020-11-28	64	32.0	0.32	20.48
120	2020-11-29	60	27.0	0.27	16.200000000000003
121	2020-11-30	86	27.0	0.27	23.220000000000002
122	2020-12-01	50	27.0	0.27	13.5
123	2020-12-02	39	27.0	0.27	10.530000000000001
124	2020-12-03	38	27.0	0.27	10.260000000000002
125	2020-12-04	36	27.0	0.27	9.72
126	2020-12-05	34	27.0	0.27	9.18
127	2020-12-06	33	21.0	0.21	6.93
128	2020-12-07	34	21.0	0.21	7.14
129	2020-12-08	34	21.0	0.21	7.14
130	2020-12-09	36	21.0	0.21	7.56
131	2020-12-10	30	21.0	0.21	6.3
132	2020-12-11	32	21.0	0.21	6.72
133	2020-12-12	28	21.0	0.21	5.88
134	2020-12-13	31	36.0	0.36	11.16
135	2020-12-14	30	36.0	0.36	10.799999999999999
136	2020-12-15	32	36.0	0.36	11.52
137	2020-12-16	60	36.0	0.36	21.599999999999998
138	2020-12-17	100	36.0	0.36	36.0
139	2020-12-18	69	36.0	0.36	24.84
140	2020-12-19	59	36.0	0.36	21.24
141	2020-12-20	57	36.0	0.36	20.52
142	2020-12-21	61	36.0	0.36	21.96
143	2020-12-22	50	36.0	0.36	18.0
144	2020-12-23	48	36.0	0.36	17.28
145	2020-12-24	44	36.0	0.36	15.84
146	2020-12-25	51	36.0	0.36	18.36
147	2020-12-26	70	36.0	0.36	25.2
148	2020-12-27	97	53.0	0.53	51.410000000000004
149	2020-12-28	76	53.0	0.53	40.28
150	2020-12-29	65	53.0	0.53	34.45
151	2020-12-30	74	53.0	0.53	39.22
152	2020-12-31	73	53.0	0.53	38.690000000000005
153	2021-01-01	37	53.0	0.53	19.61
154	2021-01-02	66	53.0	0.53	34.980000000000004
155	2021-01-03	79	88.0	0.88	69.52
156	2021-01-04	65	88.0	0.88	57.2
157	2021-01-05	55	88.0	0.88	48.4
158	2021-01-06	60	88.0	0.88	52.8
159	2021-01-07	88	88.0	0.88	77.44
160	2021-01-08	87	88.0	0.88	76.56
161	2021-01-09	67	88.0	0.88	58.96
162	2021-01-10	65	84.0	0.84	54.6
163	2021-01-11	100	84.0	0.84	84.0
164	2021-01-12	77	84.0	0.84	64.67999999999999
165	2021-01-13	64	84.0	0.84	53.76
166	2021-01-14	67	84.0	0.84	56.28
167	2021-01-15	58	84.0	0.84	48.72
168	2021-01-16	50	84.0	0.84	42.0
169	2021-01-17	45	54.0	0.54	24.3
170	2021-01-18	42	54.0	0.54	22.68
171	2021-01-19	42	54.0	0.54	22.68
