	date	bitcoin	btc	bitcoin price	bitcoin kurs	bitcoin usd	bitcoin stock	bitcoin dollar	bitcoin euro	buy bitcoin	buy btc	btc usd	btc inr	price btc	btc stock	btc coin	btc euro
0	2021-01-01	9.99	13.2	8.879999999999999	14.96	11.760000000000002	3.8	26.88	30.78	10.5	8.36	20.400000000000002	20.0	6.3	3.0	2.88	10.88
1	2021-01-02	31.2	36.92	22.04	24.08	27.45	7.68	64.38	52.0	31.62	49.4	48.84	45.14	24.400000000000002	5.7	17.0	58.46
2	2021-01-03	45.239999999999995	48.13999999999999	33.839999999999996	34.68	40.150000000000006	10.89	67.24	70.4	81.6	57.800000000000004	63.51	100.0	32.5	7.590000000000001	15.39	72.68
3	2021-01-04	30.72	30.38	27.95	28.8	26.04	20.68	47.36	48.18	33.480000000000004	16.2	45.14	43.4	21.46	15.54	10.62	74.76
4	2021-01-05	20.14	20.8	18.549999999999997	20.52	18.0	16.77	36.18	36.6	32.45	19.470000000000002	28.0	44.25	12.76	12.48	9.180000000000001	43.31
5	2021-01-06	25.8	28.35	23.200000000000003	22.68	26.88	21.16	43.56	47.58	31.720000000000002	22.95	37.169999999999995	41.440000000000005	16.64	20.21	6.66	93.06
6	2021-01-07	55.9	56.550000000000004	45.900000000000006	45.0	47.879999999999995	41.4	88.27	99.0	67.86	34.980000000000004	77.89999999999999	84.63000000000001	44.2	42.88	16.8	93.0
7	2021-01-08	55.25	52.92	46.480000000000004	52.7	44.459999999999994	44.64	90.16000000000001	79.98	91.0	84.0	64.6	91.17999999999999	36.26	34.769999999999996	17.2	57.51
8	2021-01-09	33.5	31.5	30.360000000000003	25.3	34.68	16.38	52.260000000000005	58.400000000000006	63.910000000000004	55.8	42.24	66.24	19.14	10.56	11.78	29.58
9	2021-01-10	32.339999999999996	34.3	26.66	25.52	30.36	12.540000000000001	45.54	52.56	48.64	28.32	40.199999999999996	52.14	22.75	8.4	12.299999999999999	26.0
10	2021-01-11	72.0	75.0	67.0	71.0	71.0	65.6	99.0	80.84	38.76	43.45	91.0	80.50999999999999	67.0	73.08	9.66	45.88
11	2021-01-12	41.800000000000004	39.22	44.52	37.400000000000006	43.120000000000005	42.88	56.24	51.03	22.79	19.6	54.400000000000006	40.599999999999994	27.69	46.15	7.41	62.370000000000005
12	2021-01-13	29.61	23.099999999999998	25.83	32.339999999999996	24.599999999999998	24.0	37.8	57.4	25.2	30.53	31.860000000000003	26.220000000000002	14.399999999999999	11.52	4.2	14.19
13	2021-01-14	31.68	30.08	27.09	35.0	25.37	30.800000000000004	45.56	46.15	27.5	28.32	35.64	33.04	16.2	24.91	12.959999999999999	33.15
14	2021-01-15	23.939999999999998	24.36	19.08	26.23	21.45	20.25	35.2	36.85	25.5	12.21	24.91	43.66	10.14	19.32	6.11	22.54
15	2021-01-16	16.799999999999997	16.32	12.6	16.799999999999997	14.08	5.0	15.959999999999999	35.910000000000004	15.91	11.0	18.919999999999998	32.660000000000004	8.05	1.17	5.74	21.599999999999998
16	2021-01-17	14.850000000000001	16.799999999999997	11.34	13.33	14.850000000000001	3.99	26.220000000000002	27.540000000000003	13.260000000000002	5.800000000000001	18.400000000000002	31.0	6.84	1.92	4.0	26.5
17	2021-01-18	12.6	13.33	10.0	14.520000000000001	14.26	5.04	16.2	19.76	9.9	6.51	13.200000000000001	16.400000000000002	5.89	5.76	1.3199999999999998	15.96
18	2021-01-19	12.0	12.9	10.4	14.26	10.64	10.85	10.89	24.84	12.16	6.720000000000001	15.54	26.52	6.9	7.4399999999999995	2.2	12.96
19	2021-01-20	12.0	12.299999999999999	9.88	13.02	10.260000000000002	12.959999999999999	16.38	24.0	12.16	8.19	12.16	16.099999999999998	7.77	8.41	5.3999999999999995	13.120000000000001
20	2021-01-21	18.5	19.5	16.0	20.400000000000002	14.96	18.49	29.069999999999997	29.150000000000002	12.4	10.29	25.2	28.8	14.000000000000002	13.32	9.54	15.2
21	2021-01-22	21.45	20.8	20.72	23.22	19.08	19.36	28.62	33.15	9.92	24.42	30.38	29.700000000000003	17.36	21.07	5.88	15.99
22	2021-01-23	10.260000000000002	10.64	9.5	10.64	11.200000000000001	3.5999999999999996	18.48	21.42	8.06	14.4	12.540000000000001	27.04	6.4	4.0	4.84	24.200000000000003
23	2021-01-24	9.0	9.99	7.48	11.6	8.25	2.4	9.6	21.150000000000002	6.75	6.4	12.16	31.27	4.340000000000001	1.7000000000000002	4.6499999999999995	12.870000000000001
24	2021-01-25	9.72	10.64	9.12	13.44	10.260000000000002	8.4	13.32	17.2	4.6000000000000005	1.17	13.600000000000001	16.8	6.65	6.3	2.79	10.729999999999999
25	2021-01-26	8.84	9.0	7.48	12.4	8.4	11.1	11.2	19.32	7.25	6.75	9.92	13.200000000000001	4.75	6.96	2.6399999999999997	7.26
26	2021-01-27	9.99	10.729999999999999	10.14	10.729999999999999	10.080000000000002	21.62	18.06	20.209999999999997	8.64	10.29	10.54	16.2	8.58	35.64	1.12	12.25
27	2021-01-28	11.309999999999999	13.02	10.8	9.72	9.450000000000001	35.96	12.25	18.36	19.35	11.0	13.200000000000001	14.040000000000001	6.51	35.910000000000004	3.64	23.4
