	date	bitcoin_unscaled	bitcoin_monthly	scale	bitcoin
0	2020-10-01	49			
1	2020-10-02	48			
2	2020-10-03	45			
3	2020-10-04	45	11.0	0.11	4.95
4	2020-10-05	47	11.0	0.11	5.17
5	2020-10-06	46	11.0	0.11	5.06
6	2020-10-07	46	11.0	0.11	5.06
7	2020-10-08	53	11.0	0.11	5.83
8	2020-10-09	51	11.0	0.11	5.61
9	2020-10-10	55	11.0	0.11	6.05
10	2020-10-11	48	12.0	0.12	5.76
11	2020-10-12	53	12.0	0.12	6.359999999999999
12	2020-10-13	56	12.0	0.12	6.72
13	2020-10-14	49	12.0	0.12	5.88
14	2020-10-15	55	12.0	0.12	6.6
15	2020-10-16	53	12.0	0.12	6.359999999999999
16	2020-10-17	48	12.0	0.12	5.76
17	2020-10-18	50	16.0	0.16	8.0
18	2020-10-19	54	16.0	0.16	8.64
19	2020-10-20	63	16.0	0.16	10.08
20	2020-10-21	95	16.0	0.16	15.200000000000001
21	2020-10-22	100	16.0	0.16	16.0
22	2020-10-23	82	16.0	0.16	13.120000000000001
23	2020-10-24	72	16.0	0.16	11.52
24	2020-10-25	69	18.0	0.18	12.42
25	2020-10-26	74	18.0	0.18	13.32
26	2020-10-27	87	18.0	0.18	15.66
27	2020-10-28	86	18.0	0.18	15.479999999999999
28	2020-10-29	78	18.0	0.18	14.04
29	2020-10-30	73	18.0	0.18	13.139999999999999
30	2020-10-31	77	18.0	0.18	13.86
31	2020-11-01	41	19.0	0.19	7.79
32	2020-11-02	44	19.0	0.19	8.36
33	2020-11-03	41	19.0	0.19	7.79
34	2020-11-04	41	19.0	0.19	7.79
35	2020-11-05	62	19.0	0.19	11.78
36	2020-11-06	68	19.0	0.19	12.92
37	2020-11-07	52	19.0	0.19	9.88
38	2020-11-08	51	20.0	0.2	10.200000000000001
39	2020-11-09	57	20.0	0.2	11.4
40	2020-11-10	47	20.0	0.2	9.4
41	2020-11-11	52	20.0	0.2	10.4
42	2020-11-12	57	20.0	0.2	11.4
43	2020-11-13	58	20.0	0.2	11.600000000000001
44	2020-11-14	51	20.0	0.2	10.200000000000001
45	2020-11-15	47	28.0	0.28	13.160000000000002
46	2020-11-16	58	28.0	0.28	16.240000000000002
47	2020-11-17	80	28.0	0.28	22.400000000000002
48	2020-11-18	96	28.0	0.28	26.880000000000003
49	2020-11-19	74	28.0	0.28	20.720000000000002
50	2020-11-20	82	28.0	0.28	22.96
51	2020-11-21	80	28.0	0.28	22.400000000000002
52	2020-11-22	73	31.0	0.31	22.63
53	2020-11-23	73	31.0	0.31	22.63
54	2020-11-24	97	31.0	0.31	30.07
55	2020-11-25	88	31.0	0.31	27.28
56	2020-11-26	100	31.0	0.31	31.0
57	2020-11-27	77	31.0	0.31	23.87
58	2020-11-28	64	31.0	0.31	19.84
59	2020-11-29	62	27.0	0.27	16.740000000000002
60	2020-11-30	86	27.0	0.27	23.220000000000002
61	2020-12-01	51	27.0	0.27	13.770000000000001
62	2020-12-02	39	27.0	0.27	10.530000000000001
63	2020-12-03	38	27.0	0.27	10.260000000000002
64	2020-12-04	37	27.0	0.27	9.99
65	2020-12-05	33	27.0	0.27	8.91
66	2020-12-06	31	21.0	0.21	6.51
67	2020-12-07	33	21.0	0.21	6.93
68	2020-12-08	33	21.0	0.21	6.93
69	2020-12-09	36	21.0	0.21	7.56
70	2020-12-10	30	21.0	0.21	6.3
71	2020-12-11	32	21.0	0.21	6.72
72	2020-12-12	28	21.0	0.21	5.88
73	2020-12-13	31	36.0	0.36	11.16
74	2020-12-14	30	36.0	0.36	10.799999999999999
75	2020-12-15	32	36.0	0.36	11.52
76	2020-12-16	57	36.0	0.36	20.52
77	2020-12-17	100	36.0	0.36	36.0
78	2020-12-18	67	36.0	0.36	24.119999999999997
79	2020-12-19	57	36.0	0.36	20.52
80	2020-12-20	57	36.0	0.36	20.52
81	2020-12-21	59	36.0	0.36	21.24
82	2020-12-22	48	36.0	0.36	17.28
83	2020-12-23	47	36.0	0.36	16.919999999999998
84	2020-12-24	43	36.0	0.36	15.479999999999999
85	2020-12-25	49	36.0	0.36	17.64
86	2020-12-26	69	36.0	0.36	24.84
87	2020-12-27	94	54.0	0.54	50.760000000000005
88	2020-12-28	72	54.0	0.54	38.88
89	2020-12-29	63	54.0	0.54	34.02
90	2020-12-30	73	54.0	0.54	39.42
91	2020-12-31	72	54.0	0.54	38.88
92	2021-01-01	39	54.0	0.54	21.060000000000002
93	2021-01-02	67	54.0	0.54	36.18
94	2021-01-03	79	88.0	0.88	69.52
95	2021-01-04	66	88.0	0.88	58.08
96	2021-01-05	53	88.0	0.88	46.64
97	2021-01-06	63	88.0	0.88	55.44
98	2021-01-07	89	88.0	0.88	78.32000000000001
99	2021-01-08	89	88.0	0.88	78.32000000000001
100	2021-01-09	71	88.0	0.88	62.48
101	2021-01-10	69	82.0	0.82	56.58
102	2021-01-11	100	82.0	0.82	82.0
103	2021-01-12	78	82.0	0.82	63.959999999999994
104	2021-01-13	65	82.0	0.82	53.3
105	2021-01-14	67	82.0	0.82	54.94
106	2021-01-15	60	82.0	0.82	49.199999999999996
107	2021-01-16	52	82.0	0.82	42.64
108	2021-01-17	46	54.0	0.54	24.840000000000003
109	2021-01-18	42	54.0	0.54	22.68
110	2021-01-19	43	54.0	0.54	23.220000000000002
111	2021-01-20	43	54.0	0.54	23.220000000000002
112	2021-01-21	51	54.0	0.54	27.540000000000003
113	2021-01-22	54	54.0	0.54	29.160000000000004
114	2021-01-23	40	54.0	0.54	21.6
115	2021-01-24	35	51.0	0.51	17.85
116	2021-01-25	37	51.0	0.51	18.87
117	2021-01-26	36	51.0	0.51	18.36
118	2021-01-27	38	51.0	0.51	19.38
119	2021-01-28	41	51.0	0.51	20.91
120	2021-01-29	64	51.0	0.51	32.64
121	2021-01-30	45	51.0	0.51	22.95
122	2021-01-31	36	45.0	0.45	16.2
123	2021-02-01	39	45.0	0.45	17.55
124	2021-02-02	36	45.0	0.45	16.2
125	2021-02-03	37	45.0	0.45	16.650000000000002
126	2021-02-04	38	45.0	0.45	17.1
127	2021-02-05	36	45.0	0.45	16.2
128	2021-02-06	45	45.0	0.45	20.25
129	2021-02-07	40	79.0	0.79	31.6
